,geography,category,data_type,unit,currency_conversion,current_constant,year_nk,value
74,Morocco,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,67877.8
75,Nigeria,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,343559.2
76,Oman,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,31672.0
77,Qatar,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,46182.2
78,Saudi Arabia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,277646.0
79,South Africa,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,176144.0
80,Tanzania,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,33028.2
81,Tunisia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,31945.8
82,Uganda,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,20865.6
83,United Arab Emirates,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,152702.9
84,Canada,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,854653.9
85,USA,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,14178097.9
86,Austria,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,227150.0
87,Belgium,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,269156.1
88,Denmark,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,148549.6
89,Finland,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,134105.4
90,France,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1497209.2
91,Germany,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,2096554.2
92,Greece,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,127419.8
93,Ireland,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,105261.4
94,Italy,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1214775.0
95,Netherlands,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,390375.3
96,Norway,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,162229.8
97,Portugal,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,141025.2
98,Spain,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,760438.4
99,Sweden,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,251490.5
100,Switzerland,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,399492.8
101,Turkey,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,595294.5
102,United Kingdom,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,1747794.6
103,Azerbaijan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,22926.9
104,Bangladesh,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,181051.8
105,Cambodia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,16930.0
106,China,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,7375808.7
